"key",ja,en
title,iGPSPORT アカウント,iGPSPORT Account
description,iGPSPORT のメールアドレスとパスワードを入力してください。入力した情報は端末内に安全に保存されます。,Enter your iGPSPORT email and password. Your information is stored securely on this device.
email,メールアドレス,Email
emailHint,you@example.com,you@example.com
password,パスワード,Password
passwordHint,パスワード,Password
requiredField,入力してください。,This field is required.
invalidEmail,メールアドレスの形式が正しくありません。,The email address format is invalid.
saved,アカウント情報を保存しました。,Account information has been saved.
saveFailed,保存に失敗しました: ${message: String},Failed to save: ${message: String}
deleteAccount,登録済みアカウントを削除,Delete Saved Account
deleted,アカウント情報を削除しました。,Account information has been deleted.
